Index,Year,Tag,M,L,U,N,Error,Std
CNR,2018,Pub,0.00122249599195056,0.00122061092068456,0.00122438182088186,1319844000,0.03494283181856084,1269.461105283263
CNR,2018,Pri,4.1095008197938545e-4,4.0985677095171854e-4,4.1204415067235217e-4,1319844000,0.02026773795985893,736.3199744574605
CNR,2018,NAAT,5.676307199941811e-4,5.663457196456551e-4,5.689157203427072e-4,1319844000,0.02381823913222595,865.3084653155034
CNR,2018,All,0.00163344607392994,0.00163126778619291,0.00163562511933228,1319844000,0.04038289152417781,1467.0966101146478
CNR,2019,Pub,0.00129356522651556,0.0012916367806271,0.00129549442189719,1334235000,0.03594289798444636,1312.8927640535812
CNR,2019,Pri,5.088271556360012e-4,5.076174736834216e-4,5.10037587081736e-4,1334235000,0.02255145783672728,823.7411970929793
CNR,2019,Bac,8.797363283079817e-4,8.781459038325332e-4,8.813275022765854e-4,1334235000,0.02964729991585468,1082.9323097457386
CNR,2019,CDx,9.226560538435882e-4,9.210274052172218e-4,9.2428545196311e-4,1334235000,0.03036123778191353,1109.010447873002
CNR,2019,All,0.00180239238215157,0.00180011692093221,0.00180466859286407,1334235000,0.04241631483111578,1549.348437170773
CNR,2020,Pub,9.830559625571696e-4,9.813838779904732e-4,9.847287886247827e-4,1348616000,0.03133830824297397,1150.8525964743706
CNR,2020,Pri,3.558499973305967e-4,3.548437805869128e-4,3.568569555751971e-4,1348616000,0.01886063010903921,692.6284904673147
CNR,2020,All,0.00133890595988776,0.00133695507097646,0.00134085759029998,1348616000,0.03656655973315433,1342.8523290650426
CNR,2021,Pub,0.00106140471868795,0.00105967618631172,0.00106313398473667,1363006000,0.03256191239333319,1202.1503503023528
CNR,2021,Pri,5.05594986375702e-4,5.044020349140063e-4,5.067886715098833e-4,1363006000,0.02247975444895815,829.9280570221939
CNR,2021,Bac,7.038340256756023e-4,7.02426108175606e-4,7.052419431755986e-4,1363006000,0.02652053248597968,979.1091823204134
CNR,2021,CDx,8.631656793880584e-4,8.616066253560146e-4,8.647247334201023e-4,1363006000,0.02936699890009167,1084.1976229351365
CNR,2021,NAAT,3.340300776372224e-4,3.3306016261116974e-4,3.350007263357608e-4,1363006000,0.0182734370479244,674.6353986533044
CNR,2021,All,0.00156699970506366,0.00156489993440967,0.00156910020939012,1363006000,0.03955431982714393,1460.30241902831
CNR,2022,Pub,0.0012274238033827,0.00122557368277955,0.00122927465094875,1375586000,0.03501310089365969,1298.5971602117131
CNR,2022,Pri,5.333683244813484e-4,5.321484807202166e-4,5.345888952053888e-4,1375586000,0.02308860850531682,856.3309353635066
CNR,2022,Bac,7.720571451003427e-4,7.705894069872767e-4,7.735256101763176e-4,1375586000,0.027775188079742,1030.1509847484165
CNR,2022,CDx,9.887349827637094e-4,9.870745994797854e-4,9.903960930105424e-4,1375586000,0.03142860776263512,1165.6522772410704
CNR,2022,NAAT,3.990888246899867e-4,3.98034001509175e-4,4.001443748337072e-4,1375586000,0.0199732208919842,740.7846568456537
CNR,2022,All,0.00176079212786405,0.00175857707188063,0.00176300791081037,1375586000,0.04192483439378746,1554.9457059365338
DrugTime,2018,All,7.391076265170155e-4,7.376483377066074e-4,7.405676663767341e-4,1331470498.6031482,7.447267015629324e-7,0.02717457117630584
DrugTime,2019,All,6.037733949095226e-4,6.024644793021759e-4,6.050830504352455e-4,1351500425.2916448,6.680028400687679e-7,0.02455762720271202
DrugTime,2020,All,4.7445440733449173e-4,4.733007832057866e-4,4.756087620674583e-4,1368730040.1494029,5.887701177734157e-7,0.02178234635586564
DrugTime,2021,All,4.754070884757412e-4,4.742678182352953e-4,4.765470698711438e-4,1406163299.2123797,5.814417438389153e-7,0.02180339323083684
IncR,2017,All,0.00234,0.00156,0.00327,1354195680,4.362244897959184e-4,16.05279853933258
IncR,2018,All,0.00224,0.00151,0.0031,1369003306,4.056122448979592e-4,15.007671182214656
IncR,2019,All,0.00214,0.00146,0.00295,1383112050,3.801020408163266e-4,14.136076406564625
IncR,2020,All,0.00204,0.00179,0.00231,1396387127,1.3265306122448977e-4,4.957014563658153
IncR,2021,All,0.0021,0.00178,0.00244,1407563842,1.6836734693877556e-4,6.31672426284358
IncR,2021,0-14,9.778759639925355e-4,7.409820684901185e-4,0.00121752443967521,363031727,1.215669314247691e-4,2.3162623358089225
IncR,2021,15-24,0.00240413395075421,0.00104886236086826,0.00376333386408911,254561523,6.924672202094016e-4,11.048303604717532
IncR,2021,25-34,0.00228351232007494,9.963639898454345e-4,0.00357066065030445,233850282,6.5670833174975e-4,10.042491556459918
IncR,2021,35-44,0.00215964780361022,9.387542709279606e-4,0.00337541153153332,194939193,6.215962399503474e-4,8.678765635340493
IncR,2021,45-54,0.00273028708652159,0.00118708134196591,0.00426030303838877,151632406,7.83985126638485e-4,9.653923134726508
IncR,2021,55-64,0.00322016869153875,0.00140086434603663,0.00503037651531337,109932129,9.25895961550188e-4,9.70788245708837
IncR,2021,65+,0.00279357267869896,0.00122284690841162,0.00437484023267951,94860607,8.040799296601765e-4,7.83144985808452
PrAsym,2019,All,0.6129576454881513,0.5845881310894597,0.6412754650132861,1129,0.48707347528455414,16.365958691680664
PrDR,2017,All,0.02364620347773587,0.02341464538271946,0.02387836774577588,1649694,0.15194426787090518,195.1578470073315
PrDR,2018,All,0.03056922989871555,0.03032508262237227,0.0308139010962527,1908684,0.1721474719016083,237.8305639380684
PrDR,2019,All,0.0306406582180368,0.03041127528126001,0.03087050362041193,2162323,0.1723421256744916,253.4263269468347
PrDetPub,2018,All,0.7484152745914224,0.7478359325644025,0.7489946166184422,2155894,0.4339237851854496,637.1286846357191
PrDetPub,2019,All,0.717693460827548,0.7171246021003694,0.7182623195547266,2404815,0.4501217136652317,698.0247145255806
PrDetPub,2020,All,0.7342233076918817,0.7335786716288136,0.7348673899438989,1805670,0.4417459022264656,593.5970320662599
PrDetPub,2021,All,0.6773483844688013,0.6767214619141037,0.6779753070234991,2135830,0.46749069565747103,683.2133011297428
PrDetPub,2022,All,0.697086148875304,0.6965073173470689,0.6976645675422491,2422121,0.459518280290895,715.1558745566712
PrExCS,2019,All,0.17695954696433971,0.1550044286979628,0.19929140832595216,1129,0.3816344660830771,12.823145221751949
PrInc,2021,0-14,0.12013536379018612,0.1197648054145516,0.1205062605752961,2955000,0.3251197597150714,558.8845550330443
PrInc,2021,15-24,0.20710659898477157,0.20664467005076145,0.2075688663282572,2955000,0.4052325944957199,696.5994268023193
PrInc,2021,25-34,0.18071065989847715,0.18027208121827412,0.18114957698815567,2955000,0.3847782703032151,661.4382114863135
PrInc,2021,35-44,0.14247038917089677,0.1420720812182741,0.14286903553299493,2955000,0.3495319404294692,600.8493706071868
PrInc,2021,45-54,0.1401015228426396,0.13970592216582065,0.140497461928934,2955000,0.3470923308570977,596.6556540779172
PrInc,2021,55-64,0.11979695431472082,0.11942673434856176,0.12016717428087986,2955000,0.32472395053589365,558.2041545640706
PrInc,2021,65+,0.08967851099830795,0.08935296108291033,0.09000439932318105,2955000,0.28572062519782204,491.15699586328645
PrSym,2019,All,0.21008280754750877,0.18689105403011513,0.23383525243578387,1129,0.40736718267487526,13.687779816193904
PrevUt,2019,All,0.00200959959387859,0.00189268494184845,0.00212771261101496,561636,0.04478349141537405,33.56181335746887
TestR,2018,Pub,0.00111036001224387,0.00110856358781795,0.00111215719433508,1319844000,0.03330356006325872,1209.9069241810862
TestR,2018,Pri,3.3869078466849115e-4,3.376982431257027e-4,3.3968408387657933e-4,1319844000,0.01840043676712245,668.4815620375242
TestR,2018,SSM,0.00739061964898881,0.0073859994059904,0.00739524064965253,1319844000,0.08565044302391436,3111.6512431996016
TestR,2018,NAAT,0.00182386024408945,0.00182155845690854,0.00182616278893566,1319844000,0.04266771353025005,1550.103410601359
TestR,2018,Bac,0.00921447989307827,0.00920932549604347,0.00921963504777837,1319844000,0.0955488003764481,3471.255173713374
TestR,2019,Pub,0.00125829707660194,0.00125639561246706,0.00126019929022998,1334235000,0.03545015888637119,1294.8943935073576
TestR,2019,Pri,4.449388600958602e-4,4.438078749245823e-4,4.460705947602934e-4,1334235000,0.02108888070777197,770.3173766123205
TestR,2019,SSM,0.00837815901996275,0.00837326857712472,0.00838305021229393,1334235000,0.09114804151159238,3329.381070218908
TestR,2019,NAAT,0.00163387709061746,0.00163171030590563,0.00163604462482246,1334235000,0.04038821036231025,1475.2674968138842
TestR,2020,Pub,9.250846794046638e-4,9.234622753993724e-4,9.267078249108716e-4,1348616000,0.03040113316540346,1116.4362405239851
TestR,2020,Pri,3.4356629314793833e-4,3.425778724262503e-4,3.4455545537054284e-4,1348616000,0.01853235698312956,680.5731498797901
TestR,2021,Pub,9.733742918226332e-4,9.717191266949668e-4,9.750301906227852e-4,1363006000,0.031183759143353,1151.2704329246124
TestR,2021,Pri,4.071735560958646e-4,4.061031279392754e-4,4.0824471792493943e-4,1363006000,0.02017443346890021,744.8181166028643
TestR,2021,SSM,0.00607412219755452,0.00606999749084009,0.00607824763794143,1363006000,0.07769959611918004,2868.584484987065
TestR,2021,NAAT,0.00174917351794489,0.00174695562602072,0.00175139214354155,1363006000,0.04178652785227573,1542.7131087613045
TestR,2021,Bac,0.00782329571549941,0.00781861855340328,0.00782797361126803,1363006000,0.08810273412129312,3252.657012497595
TestR,2022,SSM,0.01011562417762321,0.01011033624942388,0.01012091283278544,1375586000,0.10006646953460632,3711.35460308752
TestR,2022,NAAT,0.00299548846818737,0.00299260097151323,0.00299837669182443,1375586000,0.05464902118999326,2026.871711283532
TestR,2022,Bac,0.01311111264581058,0.01310510211647981,0.01311712390210426,1375586000,0.11375065437613732,4218.885873425311
TxI,2018,Pub,0.9082729265003372,0.9078273124826464,0.9087179207488796,1613504,0.2886402908238042,366.64180021910056
TxI,2018,Pri,0.8241652685337119,0.8231512380390494,0.825177455336566,542390,0.3806794960021704,280.359529578234
TxI,2019,Pub,0.9727357003800872,0.9724923519050708,0.9729784694539724,1725920,0.16285256395325332,213.94637439574743
TxI,2019,Pri,0.8744400827815789,0.8736520375021174,0.8752281280610403,678895,0.3313527190269069,273.018353845428
TxI,2020,Pub,0.9410295188061232,0.9406282410532788,0.9414300422774776,1325765,0.2355694452632585,271.2390621016477
TxI,2020,Pri,0.9654806680488848,0.9649638991050312,0.9659953532469968,479905,0.1825588882327126,126.4679909973185
TxI,2021,Pub,0.9170623369998362,0.9166123476793062,0.9175116350925312,1446701,0.27578797482166456,331.7146990521559
TxI,2021,Pri,0.8053354306668272,0.8043994665730219,0.8062699436535105,689129,0.3959422619265379,328.68669381117974
